,target_sentence,postcontext,substitutions
475,"""I'm sorry.""","""I'm sorry.""","{'sorry': ['apologetic 4', 'contrite 1', 'regretful 2', 'remorseful 2', 'sad 1']}"
476,I could say that I did not dare to take responsibility for her fate.,"I could say that I chose out of consideration for her desire for fame; some critics already say ""Waking With Tasha"" is Malaquez's finest work.","{'say': ['add 1', 'admit 1', 'argue 1', 'claim 2', 'disclose 1', 'explain 1', 'mention 1', 'relate 1', 'state 3', 'suggest 1', 'swear 1'], 'dare': ['attempt 1', 'brave 2', 'dare 1', 'endeavor 1', 'hazard 2', 'mean 1', 'presume 4', 'risk 2', 'venture 1', 'wish 1'], 'take': ['accept 4', 'admit 1', 'assume 3', 'bear 2', 'carry 1', 'have 1', 'hold 1', 'undertake 1'], 'responsibility': ['a chance 1', 'accountability 2', 'answerability 1', 'blame 4', 'blameworthiness 1', 'charge 1', 'credit 1', 'entrust duty 1', 'liability 1', 'the choice 1', 'the duty 1'], 'fate': ['circumstance 2', 'consequence 1', 'demise 1', 'destiny 4', 'end 2', 'event 1', 'fortune 1', 'future 4', 'lot 1', 'outcome 2', 'well being 1']}"
477,"In Karnes, Tibbets found a kindred spirit -- and a handball partner.","Both were smart, disciplined, quiet men who thrived on efficiency, perfection and self-reliance.","{'found': ['discover 4', 'encounter 1', 'have 1', 'meet 1', 'notice 1', 'realize 1', 'see 1'], 'kindred': ['brother 1', 'congenial 1', 'germane 1', 'like 1', 'like minded 1', 'match 1', 'related 3', 'share 1', 'similar 4'], 'spirit': ['attitude 2', 'being 1', 'character 1', 'courage 1', 'fellow 1', 'force 1', 'heart 1', 'soul 4', 'temperament 1'], 'handball': ['game 1', 'play 1', 'racquetball 1', 'squash 1', 'team sport 1'], 'partner': ['associate 1', 'buddy 2', 'companion 1', 'match 1', 'mate 1', 'pair player 1', 'player 3', 'team mate 1', 'teammate 1']}"
478,“That’s enough!,“That’s enough!,"{'enough': ['a bit much 1', 'all 1', 'enough already 1', 'good 1', 'it 1', 'sufficient 4', 'the last straw 1', 'the limit 1']}"
479,"Red Lobster, with 660 restaurants in the United States and Canada, dropped Chilean seabass from the menu in the past year because of ""sustainability"" concerns, said Wendy Spirduso, communications director for the Orlando, Fla.-based chain.","""sustainability""","{'restaurants': ['cafe 1', 'dining establishment 1', 'eat establishment 1', 'eatery 3', 'location 1'], 'dropped': ['delete 1', 'discontinued 2', 'dump 1', 'erase 1', 'omit 2', 'pull 1', 'refuse 1', 'remove 3', 'scratch 1', 'scrub 1'], 'Chilean': ['south American 2'], 'seabass': ['Patagonian toothfish 1', 'bass 1', 'fish 1', 'saltwater fish 1'], 'menu': ['bill of fare 1', 'carte 1', 'carte du jour 1', 'food offering 1', 'lineup 1', 'list 2', 'offering 1', 'selection 1'], 'past': ['last 4', 'preceding 1', 'previous 1', 'prior 1'], 'year': ['@card@ month 1', 'few month 1', 'period 1'], 'sustainability': ['attainability 1', 'longevity 1', 'maintain existence 1', 'maintainability 1', 'practicality 1'], 'concerns': ['apprehension 1', 'issue 1', 'problem 3', 'question 1', 'worry 3'], 'said': ['add 1', 'affirm 1', 'announce 1', 'declare 1', 'divulge 1', 'note 1', 'remark 2', 'report 1', 'state 4'], 'communications': ['correspondent 1', 'media 1', 'pr 1', 'promotion 1', 'public relation 2', 'publicity 1', 'report 1', 'spokesperson 1'], 'director': ['chef 1', 'head 2', 'manager 4'], 'based': ['headquarter 1', 'located 2', 'operation 1'], 'chain': ['company 1', 'conglomerate 1', 'franchise 2', 'group 1', 'location 1']}"
480,So I shall soothe my quarreling selves with a compromise.,I will not talk of the first time Tasha and I tried any act of sex or sport together.,"{'soothe': ['abate 1', 'calm 4', 'comfort 1', 'console 1', 'ease 3', 'pacify 2', 'quiet 2', 'relieve 2', 'stop 1'], 'quarreling': ['argue 2', 'battle 1', 'bickering 1', 'clash 1', 'collision 1', 'conflict 1', 'conflicting 1', 'disagree 1', 'disagreement 1', 'dispute 1', 'duel 1', 'fight 5', 'wrestling 1'], 'selves': ['character 1', 'ego 1', 'emanation 1', 'entity 1', 'heart 1', 'identity 1', 'personality 1', 'psyche 1'], 'compromise': ['accommodation 1', 'adjustment 1', 'agree 1', 'agreement 3', 'concession 1', 'conciliation 1', 'cooperation 1', 'decide 1', 'negotiation 1', 'recognition 1', 'truce 1']}"
481,"Karnes, 87, is a retired history professor who lives in suburban Austin with his wife, Virginia, who also worked for the 509th as a civilian bookkeeper for six months.","Karnes was Tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications.","{'retired': ['departed 1', 'emeritus 1', 'former 3', 'not active 1', 'one time 1', 'onetime 1', 'past 2', 'pension 1', 'resigned 1', 'secede 1', 'separated 1', 'vacate 1'], 'history': ['antiquity 1', 'historical field 1', 'history subject 1'], 'professor': ['academic 1', 'faculty 1', 'faculty member 1', 'instructor 3', 'teacher 5'], 'lives': ['dwell 2', 'inhabit 1', 'lodge 1', 'remain 1', 'reside 6', 'stay 2', 'whose home be 1'], 'suburban': ['neighborhood 1', 'outer 1', 'outlying 2', 'outskirt 1', 'rural 1', 'suburb 1', 'suburbia 1', 'the area outside 1', 'the fringe of 1', 'the outskirt 1', 'the suburb of 1'], 'wife': ['marital partner 1', 'mate 2', 'partner 1', 'spouse 6', 'wifey 1'], 'also': ['additionally 3', 'as well 2', 'furthermore 1', 'likewise 1', 'moreover 1', 'too 3'], 'worked': ['be employ 3', 'labor 2', 'perform 1', 'perform work 1', 'serve 3', 'toil 2'], 'civilian': ['citizen 1', 'non military 3', 'non official 1', 'noncombatant 1', 'noncommissioned 1', 'nonmilitary 1', 'private 1', 'public 2', 'resident 1'], 'bookkeeper': ['CPA 2', 'accountant 5', 'actuary 1', 'auditor 1', 'clerk 1', 'financier 1', 'record keeper 1'], 'months': [""month 's time 1""]}"
482,"As I put my hand on the impervious surface of Tasha's stopbox, I heard Malaquez run for the door.",It is strange to know that we can do acts of unrepayable kindness to those we should hate.,"{'put': ['land 1', 'lay 1', 'lie 2', 'place 5', 'plant 1', 'position 2', 'rest 2', 'roll 1', 'set 1', 'touch 1'], 'hand': ['finger 3', 'fist 1', 'mitt 1', 'palm 5', 'paw 2'], 'impervious': ['closed 1', 'dense 1', 'firm 1', 'hard 2', 'hardened 1', 'impenetrable 6', 'resilient 1', 'resistant 1', 'slab 1', 'solid 1', 'unaffected 1', 'unrelenting 1', 'unyielding 1'], 'surface': ['covering 1', 'exterior 3', 'external 1', 'facade 1', 'face 1', 'layer 1', 'lid 1', 'outer 1', 'outlier 1', 'outside 2', 'shell 1', 'side 1', 'top 2', 'wall 1'], 'stopbox': ['box 2', 'cage 1', 'keep 1', 'keeper 1', 'prison 1', 'storage box 1'], 'heard': ['catch 1', 'deduce 1', 'detect 1', 'hear the sound of 1', 'infer 1', 'know 1', 'listen to 2', 'note 1', 'notice 1', 'overhear 1', 'perceive 1'], 'run': ['bolt 2', 'break 1', 'burst 1', 'dash 2', 'flee 1', 'go 1', 'hurry 2', 'jog 1', 'make 1', 'race 2', 'rush 2', 'scramble 1', 'sprint 3'], 'door': ['doorway 3', 'entryway 2', 'escape 1', 'exit 4', 'front 1', 'gate 1', 'outside 1', 'room 1', 'threshold 2']}"
483,Karnes carries the image of hundreds of hospital beds in his mind.,"In his heart, he holds the unshakable conviction that the mission he helped organize saved America from disaster.","{'carries': ['bear 1', 'harbor 1', 'have 4', 'hold 3', 'keep 1'], 'image': ['idea 1', 'imagine picture 1', 'picture 5', 'scene 1', 'thought 1', 'vision 1'], 'hundreds': ['lot 1', 'multitude 1', 'numerous 1', 'score 3', 'several 1', 'throng 1'], 'hospital': ['clinic 2', 'infirmary 1', 'patient 2', 'recovery 1', 'sick 1', 'surgical 1'], 'beds': ['bunk 2', 'cot 3', 'gurney 1', 'mat 1', 'mattress 1', 'sleep area 1', 'stretcher 1'], 'mind': ['conscious 1', 'head 3', 'memory 1', 'thought 4']}"
484,"I've been thinking about the mindwipe, now two days away.",Who said that those who forget the past are doomed to repeat it?,"{'thinking': ['consider 2', 'contemplate 1', 'debate 1', 'deliberate 1', 'dwell 1', 'meditate 1', 'mull 1', 'muse 1', 'ponder 2', 'reflect 1', 'ruminate 1', 'study 1', 'wonder 2', 'worry 1'], 'mindwipe': ['big erase 1', 'cleaning 1', 'erasure 2', 'event 1', 'memory eraser 1', 'mind erasure 1', 'programming 1', 'reboot 1', 'reconfiguration 1', 'reset 1', 'sweep 1'], 'now': ['actually 1', 'already 1', 'at this point 1', 'be 1', 'commence 1', 'currently 3', 'happen 1', 'here 1', 'immediately 1', 'presently 2', 'promptly 1', 'today 2'], 'days': ['calendar day 1', 'date 1', 'evening 1', 'period 1', 'sunset 1'], 'away': ['after 1', 'ahead 3', 'come 1', 'distant 2', 'from now 3', 'hence 2', 'later 1', 'near 1', 'off 1', 'yonder 1']}"
485,"It's not easy for me to ask a favor.""","It's not easy for me to ask a favor.""","{'easy': ['comfortable 2', 'effortless 1', 'effortless , 1', 'facile 1', 'natural 2', 'painless 1', 'simple 4', 'small 1', 'snap 1', 'trifle 1', 'unchallenge 1', 'uncomplicated 1', 'undifficult 1'], 'ask': ['beckon 1', 'beg 4', 'coax 1', 'need 1', 'plead 1', 'request 5', 'solicit 2'], 'favor': ['benefit 1', 'comfort 1', 'consideration 1', 'convenience 1', 'courtesy 1', 'friend 1', 'hand 1', 'help 1', 'help hand 1', 'kindness 2', 'obligation 1', 'request 1', 'service 1', 'thing 1', 'treat 1']}"
486,"""Your Sleeping Flamingo should be put to sleep.""",To say her face fell would do a disservice to Tasha and to literature.,"{'Sleeping': ['asleep 1', 'dead 1', 'dream 2', 'drowsy 1', 'resting 2', 'slumber 1', 'snooze 1'], 'put': ['force 1', 'lay 1', 'send 1', 'whisk 1'], 'sleep': ['bed 1', 'death 2', 'rest 3']}"
487,"Mirror image: Ole Miss coach David Cutcliffe said that tempo is the only difference between quarterback Eli Manning and his brother Peyton, who played for Cutcliffe at Tennessee.","""Every quarterback has a different rhythm,"" Cutcliffe said.","{'image': ['clone 1', 'counterpart 1', 'double 1', 'facsimile 1', 'illustration 1', 'impression 1', 'likeness 1', 'perception 1', 'perspective 1', 'picture 1', 'reflection 3'], 'coach': ['head 1', 'leader 1', 'manager 1', 'mentor 1', 'trainer 2'], 'said': ['add 1', 'assert 1', 'cite 1', 'claim 1', 'declare 1', 'note 1', 'remark 1', 'state 2', 'suggest 1', 'voice 1'], 'tempo': ['beat 2', 'momentum 1', 'pace 4', 'rhythm 2', 'speed 2', 'timing 1'], 'only': ['exclusive 1', 'lone 1', 'one 2', 'single 4', 'singular 1', 'sole 3', 'solitary 1'], 'difference': ['change 1', 'disparity 1', 'distinction 3', 'distinguish factor 1', 'separation 1', 'uniqueness 1', 'variance 1', 'variation 1'], 'quarterback': ['competitor 1', 'player 3'], 'brother': ['male sibling 1', 'sibling 5'], 'played': ['compete 3', 'game 1', 'jockey 1', 'participate 1', 'perform 3']}"
488,"""On Tinian, and probably elsewhere, the Seabees were building enormous hospitals while we were there,"" he said.","""On Tinian, and probably elsewhere, the Seabees were building enormous hospitals while we were there,""","{'probably': ['doubtlessly 1', 'likely 2', 'maybe 2', 'perhaps 1', 'possibly 1', 'presumably 1', 'quite possibly 1'], 'elsewhere': ['beyond 2', 'other place 4', 'otherwise 1', 'somewhere 1', 'yonder 1'], 'building': ['assemble 1', 'construct 4', 'create 2', 'erect 2', 'make 2', 'raise 1'], 'enormous': ['giant 1', 'huge 5', 'large 2', 'massive 1', 'sprawling 1', 'vast 1'], 'hospitals': ['building 1', 'clinic 3', 'infantry 1', 'infirmary 1', 'medical center 2', 'medical complex 1', 'medical facility 1', 'operate theater 1', 'surgery 1'], 'there': ['around 1', 'at that place 2', 'in place 1', 'in the area 1', 'present 3', 'thus locate 1'], 'said': ['add 1', 'cite 1', 'declare 2', 'note 2', 'remark 1', 'report 1', 'state 4']}"
489,"Thanks, Kim",Subject: RE: City of Pasadena,"{'Thanks': ['appreciate 1', 'appreciatively 1', 'cheer 1', 'grateful 1', 'gratefully 1', 'much oblige 1', 'regard 1', 'sincerely 3', 'thank you 3']}"
490,"Pretax profit fell 3.7% to #128 million from #133 million and was below analysts' expectations of #130 million to #135 million, but shares rose 6 pence to 388 pence in early trading yesterday in London.","Reed is paying an interim dividend of 4.6 pence, up 15% from 4 pence a year earlier.","{'Pretax': ['before taxis 1', 'gross 3', 'net 1', 'pre duty 1', 'untaxed 1'], 'profit': ['earning 3', 'gain 2', 'gross 1', 'return 1'], 'fell': ['decrease 4', 'descend 1', 'diminish 1', 'drop 4', 'dwindle 1', 'plunge 1'], 'analysts': ['expert 3', 'forecaster 1', 'researcher 1', ""researcher ' 1""], 'expectations': ['anticipation 1', 'hope 1', 'prediction 4', 'prognosis 1'], 'shares': ['piece 1', 'stock 5', 'trade 1'], 'rose': ['be raise 1', 'increase 6', 'rise 1'], 'pence': ['cent 2', 'coin 1', 'dollar 1', 'penny 1'], 'early': ['begin 5', 'early on 1', 'initial 1', 'morning 1', 'onset 1', 'open 2', 'other 1'], 'trading': ['activity 2', 'barter 1', 'bidding 1', 'business 1', 'exchange 1'], 'yesterday': ['last night 1', 'previously 1', 'the day before 2', 'the previous day 1']}"
491,"""I just hope they keep me here,"" Jose said.","""I just hope they keep me here,""","{'just': ['certainly 1', 'merely 1', 'only 4', 'really 2', 'simply 2', 'so 1', 'sure 1'], 'hope': ['ask that 1', 'desire 1', 'pray 3', 'want that 1', 'wish 2'], 'keep': ['detain 1', 'hold 2', 'lock 1', 'retain 5', 'secure 2'], 'here': ['aboard 1', 'around 1', 'down 1', 'in 1', 'in this place 1', 'in this spot 1', 'now 1', 'there 1'], 'said': ['cite 1', 'flatline 1', 'note 1', 'remark 1', 'reply 1', 'state 4']}"
492,The seafood industry is less than thrilled about this surge of interest in ocean ecosystems from people who are not scientists.,"Fisheries management is best left to the experts, said Thor Lassen, president of Ocean Trust, a research and conservation foundation partly financed by the fishing industry.","{'seafood': ['fish 2', 'fishing 2', 'marine cuisine 1'], 'industry': ['business 4', 'commercial enterprise 1', 'sector 1'], 'less': ['far from 1', 'little 1', 'not at all 1'], 'thrilled': ['delight 1', 'elate 1', 'excite 3', 'happy 4', 'please 1'], 'surge': ['deluge 1', 'flood 1', 'flow 2', 'growth 1', 'increase 2', 'rise 1', 'rush 1', 'swell 1', 'wave 2'], 'interest': ['attention 2', 'attentiveness 1', 'awareness 1', 'concern 2', 'curiosity 2', 'entanglement 1', 'inquisitiveness 1', 'involvement 3', 'preoccupation 1', 'rationale 1'], 'ocean': ['marine 2', 'sea 3', 'water 3'], 'ecosystems': ['balance 1', 'biology 1', 'habitat 2', 'life 1', 'system 1'], 'people': ['citizenry 1', 'individual 1', 'person 2', 'some 1', 'those 2'], 'scientists': ['experimentist 1', 'expert 2', 'knowledgeable 1', 'researcher 2']}"
493,"It would be a shame to lose that talent, though.","Rakal, her first officer, was staring pensively at his panel.","{'shame': ['abashment 3', 'blot 1', 'charge 1', 'crime 1', 'disappointing 1', 'disappointment 4', 'disesteem 1', 'disgrace 5', 'dishonor 1', 'disservice 1', 'embarassment 1', 'embarrassment 1', 'great loss 1', 'humiliation 1', 'loss 2', 'mistake 1', 'pain 1', 'pity 2', 'problem 1', 'sadness 3', 'senseless loss 1', 'tragedy 2', 'waste 1'], 'lose': ['be rid of 1', 'be without 1', 'deplete 2', 'destroy 1', 'discharge 1', 'displace 1', 'do without 1', 'drop 4', 'elude 1', 'escape 1', 'exhaust 2', 'forfeit 4', 'forget 1', 'forgo 1', 'give up 1', 'mislay 1', 'misplace 2', 'miss 3', 'miss out on 2', 'misuse 1', 'not have 2', 'relinquish 2', 'remove 1', 'retire 1', 'sacrifice 3', 'spoil 1', 'squander 4', 'suffer loss of 1', 'surrender 1', 'unacknowledge 1', 'undevelop 1', 'waste 3'], 'talent': ['ability 11', 'aptitude 5', 'art 1', 'capability 2', 'capacity 1', 'craft 1', 'creativity 1', 'endowment 1', 'expertise 1', 'flair 2', 'genius 4', 'gift 2', 'gifted person 1', 'know how 1', 'person 1', 'proficiency 2', 'savvy 1', 'skill 6', 'skill set 1'], 'though': ['alas 1', 'although 1', 'definitely 1', 'even 1', 'however 6', 'nevertheless 2', 'nonetheless 5', 'still 3', 'though 1', 'yet 2']}"
494,Even rank amateurs can do it if they spend a few thousand dollars for a commercially available microwave receiver with amplifier and a VCR recorder.,They need only position themselves near a company's satellite dish and wait.,"{'Even': ['absolutely 1', 'additionally 1', 'also 1', 'especially 1', 'too 1'], 'rank': ['average 1', 'base 1', 'complete 1', 'dumb 1', 'lame 1', 'only 1', 'real 1', 'simple 1', 'total 1', 'true 1', 'unskilled 1', 'untested 1', 'utter 1'], 'amateurs': ['apprentice 1', 'beginner 3', 'hopeful 1', 'inexperienced 1', 'newbie 2', 'novice 2'], 'spend': ['allocate 1', 'disburse 1', 'drop 1', 'expend 2', 'invest 2', 'lie out 1', 'pay 4', 'spend 1', 'squander 1'], 'few': ['couple 4'], 'dollars': ['bill 2', 'buck 3', 'cent 1', 'five 1', 'greenback 1', 'money 1', 'note 1', 'single 2'], 'commercially': ['broadly 1', 'commonly 1', 'easily purchase 1', 'off the shelf 1', 'retail 1', 'store buy 1'], 'available': ['accessible 2', 'alone 1', 'attainable 1', 'here 1', 'ready 1', 'sell 1', 'single 1', 'trade 1', 'want 1'], 'receiver': ['antenna 3', 'transmitter 1'], 'amplifier': ['amp 1', 'booster 1', 'enhancer 1', 'signal strengthener 1', 'speaker 1', 'tuner 1'], 'recorder': ['device 1', 'machine 2', 'player 1', 'receiver 1', 'register 1']}"
495,"Not bad for an eighty-three-year-old, even for one who has his rejuve every month.","And if I can brag and digress so easily, this must not be painful enough to merit a mindwipe, yes?","{'bad': ['awful 2', 'fail 1', 'garbage 1', 'horrible 3', 'poor 1', 'shabby 2', 'terrible 1', 'undesirable 1', 'unwanted 1'], 'year': ['age 1', 'time 1'], 'old': ['age 4', 'elderly 1', 'get on 1', 'mature 1', 'previous 1'], 'even': ['also 1', 'especially 2', 'likewise 1', 'moreover 1', 'notwithstanding 1'], 'rejuve': ['makeover 1', 'refresh 1', 'renew 1', 'treatment 1'], 'month': ['chop 1', 'jaw 1', 'lip 1', 'oral cavity 1', 'orifice 1', 'season 1', 'time 1']}"
496,"She shook her head, rubbing her face into the white fur and murmuring something.",“What did you say?”,"{'shook': ['move 3', 'nod 3', 'sway 1', 'turn her head back and forth 1'], 'head': ['noggin 1', 'skull 1'], 'rubbing': ['caress 1', 'feel 1', 'massage 2', 'push 1', 'snuggle 1', 'stroke 1', 'touch 2'], 'face': ['cheek 2', 'eye 1', 'visage 2'], 'white': ['ivory 1', 'light 1', 'light colored 1', 'pale 3', 'pearly 1', 'pure 1', 'snowy 1'], 'fur': ['drape 1', 'fabric 1', 'hair 2', 'pelt 2'], 'murmuring': ['mumble 3', 'say 2', 'whispering 2'], 'something': ['a thing 1', 'indiscretely 1', 'stuff 1', 'thing 1', 'word 1']}"
497,"“Yes,” answered the woman.","“Yes,”","{'answered': ['remark 1', 'reply 4', 'respond 1', 'return 1', 'say 2', 'speak 1', 'state 1'], 'woman': ['damsel 1', 'female 3', 'individual 1', 'lady 6', 'lass 1']}"
498,“I don’t know.,“I don’t know.,"{'don': ['could 1', 'do not 2', 'would 1'], 'know': ['guess 1', 'recall 1', 'see 1', 'tell 1', 'think 1']}"
499,"""Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation.""","""I had no idea how you wrote up an award.","{'going': ['about 2', 'come 1', 'commence 1', 'intend 2', 'suppose 1'], 'landing': ['alight 1', 'arrive 3', 'come 1', 'ground 1', 'here 1', 'return 1', 'touch down 1'], 'hours': [""hour 's time 1"", 'hour period 1'], 'want': ['aim 1', 'desire 4', 'hope 1', 'intend 2', 'like 1', 'need 1', 'wish 1'], 'give': ['award 4', 'bestow 1', 'grant 1', 'hand 2', 'present 1'], 'job': ['assignment 3', 'business 1', 'chore 1', 'duty 2', 'mission 1', 'responsibility 3', 'role 1', 'task 3'], 'write': ['give 1', 'make 1', 'note 1', 'pen 1', 'scrawl 1', 'type 2'], 'explanation': ['account 1', 'briefing 1', 'detail 1', 'excuse 1', 'explication 1', 'exposition 1', 'justification 1', 'motivation 1', 'presentation 1', 'reason 4', 'reasoning 1', 'report 1']}"
500,It is strange to know that we can do acts of unrepayable kindness to those we should hate.,"Know this, my future self: Thanks to us, Emil Malaquez's name will live as long as his masterpiece, ""A Self-Portrait: Anguish,"" endures.","{'strange': ['bizarre 1', 'curious 1', 'eerie 1', 'funny 1', 'incredible 1', 'marvelous 1', 'move 1', 'odd 3', 'remarkable 1', 'tell 1', 'uncanny 1', 'unsettling 1', 'unusual 1', 'weird 2', 'wonderful 1'], 'know': ['admire 1', 'comprehend 2', 'discern 1', 'grasp 1', 'learn 1', 'perceive 1', 'ponder 1', 'realize 2', 'recognize 2', 'see 2', 'think 1', 'understand 4'], 'acts': ['action 3', 'behavior 1', 'bit 1', 'conduct 1', 'deed 4', 'feat 1', 'gift 1', 'help 1', 'move 1', 'performance 1', 'thing 3'], 'unrepayable': ['beyond compensation 1', 'immanent 1', 'immense 1', 'incomprehensible 1', 'invaluable 1', 'priceless 2', 'unmerited 1', 'unrestitutional 1', 'unrestrained 1', 'unreturnable 1', 'unrewardable 1'], 'kindness': ['affection 1', 'benevolence 1', 'care 1', 'charity 1', 'concern 1', 'consideration 1', 'generosity 3', 'goodness 2', 'grace 1', 'humanity 1', 'love 1', 'mercy 2', 'tenderness 2', 'thoughtfulness 1'], 'hate': ['abhor 3', 'despise 5', 'detest 1', 'loathe 5', 'revile 1', 'scorn 1']}"
501,"Each year on Aug. 6, ""I always think of Paul Tibbets and how he handled unbelievable responsibility,"" Karnes said.",Karnes met Tibbets when the 29-year-old bomber pilot walked into Karnes' office at Wendover Army Air Field on the Utah-Nevada border.,"{'year': ['anniversary 1', 'annual term 1', 'annually 1', 'annum 1', 'time 1', 'twelvemonth 1', 'yearly anniversary 1'], 'always': ['consistently 1', 'constantly 1', 'ever 1', 'every time 1', 'forever 2', 'frequently 2', 'never fail to 1', 'usually 1', 'without fail 1'], 'think': ['have thought 1', 'muse 1', 'picture 1', 'ponder 2', 'recall 1', 'remember 1', 'reminisce 1'], 'handled': ['cope with 1', 'deal with 4', 'face 1', 'juggle 1', 'manage 4', 'tackle 1', 'take 1'], 'unbelievable': ['a lot of 1', 'enormous 2', 'extensive 1', 'extreme 1', 'impossible 1', 'inconceivable 1', 'incredible 1', 'such heavy 1', 'tremendous 1', 'unimaginable 1', 'very burdensome 1'], 'responsibility': ['assignment 1', 'burden 2', 'duty 4', 'obligation 2', 'pressure 1'], 'said': ['assert 1', 'comment 1', 'declare 1', 'note 1', 'remark 1', 'state 5']}"
502,The playwright in me wants every scene of our time together.,"The editor says no, only those that are relevant.","{'playwright': ['author 4', 'book 1', 'creator 1', 'dramatist 2', 'novelist 1', 'story 1', 'writer 3'], 'wants': ['covet 1', 'crave 1', 'demand 1', 'desire 6', 'hope 1', 'hunger 1', 'like 1', 'long for 1', 'need 1', 'wish 2'], 'scene': ['act 1', 'area 1', 'display 1', 'exhibition 1', 'field 1', 'incident 1', 'instant 1', 'moment 3', 'move 1', 'occurrence 1', 'part 2', 'passage 1', 'prospect 1', 'vista 1'], 'time': ['era 1', 'instance 1', 'instant 1', 'interlude 1', 'moment 3', 'occasion 1', 'period 1', 'season 1', 'space 1', 'year 1'], 'together': ['as a group ( couple ) 1', 'assemble 1', 'collectively 1', 'in close proximity 1', 'in concert 1', 'in contact 1', 'in sync 1', 'jointly 1', 'mutually 1', 'simultaneously 1', 'with 1', 'with each other 2']}"
503,"“Nathan,” he began in the way that people speak when they start a long and difficult explanation,","“Nathan,”","{'began': ['communicate 1', 'mumble 1', 'say 1', 'speak 1', 'start 6', 'talk 1'], 'way': ['approach 1', 'fashion 1', 'form 1', 'manner 3', 'method 1', 'style 1', 'tone 2'], 'people': ['folk 2', 'human 1', 'individual 3', 'man 1', 'mortal 1', 'most 1', 'some 1'], 'speak': ['communicate 1', 'murmur 1', 'recite 1', 'sound 1', 'talk 6', 'verbalize 1'], 'start': ['begin 4', 'commence 1', 'form 1', 'initiate 1', 'instigate 1', 'introduce 1', 'launch 1', 'tell 1'], 'long': ['draw out 1', 'drudge 1', 'dry 1', 'laborious 1', 'lengthy 3', 'monotonous 1', 'stretched 1', 'tedious 1'], 'difficult': ['challenging 1', 'complex 1', 'complicated 2', 'formidable 1', 'hard 3', 'problematic 1', 'troublesome 1', 'uncertain 1'], 'explanation': ['answer 1', 'commentary 1', 'conversation 1', 'description 1', 'detail 1', 'discussion 1', 'rendition 1', 'speech 1', 'story 2', 'tale 1']}"
504,"I shouted, ""Where is she?","""Where is she?","{'shouted': ['bellow 1', 'bluster 1', 'cry 1', 'exclaim 2', 'roar 1', 'scream 3', 'shriek 2', 'yell 6']}"
505,The shimmer of light on their surfaces always reminds us that we're looking at an instant snatched from under the hooves of time.,"They say the cubes will outlast planets and suns, that when the universe dies, the works of Malaquez and his followers will be the last things seen in the final wink of God's eye.","{'shimmer': ['flash 1', 'flicker 1', 'glare 1', 'gleam 1', 'glimmer 4', 'glint 1', 'jaunt 1', 'play 1', 'shine 1', 'sparkle 1', 'touch 1', 'twinkle 2'], 'light': ['brightness 1', 'ember 1', 'flame 1', 'glow 1', 'lightning 1', 'moonlight 1', 'radiance 1', 'ray 1', 'reflection 1', 'shine 1', 'spark 1', 'sparkle 1', 'starlight 1', 'sun 2', 'sunlight 1'], 'surfaces': ['covering 1', 'edge 1', 'exterior 2', 'facade 1', 'face 2', 'facet 1', 'layer 1', 'lid 1', 'outer 1', 'outward 1', 'skin 1', 'top 2'], 'always': ['consistently 2', 'constantly 3', 'continually 1', 'continuously 1', 'ever 1', 'evermore 1', 'forever 1', 'surely 1', 'too 1', 'unceasingly 1', 'undoubtedly 1', 'usually 1', 'without exception 1'], 'reminds': ['alert 1', 'inform 1', 'reassure 1', 'show 2', 'signal 1', 'tell 3'], 'looking': ['gape 1', 'gaze 3', 'glance 2', 'glare 1', 'observe 1', 'peer 1', 'see 3', 'stare 2', 'view 2'], 'instant': ['clamant 1', 'minute 1', 'moment 5', 'period 1', 'quick 1', 'scene 1', 'second 1', 'snapshot 1', 'split second 1', 'tableau 1'], 'snatched': ['grab 2', 'grasp 1', 'keep 1', 'rip 1', 'seize 1', 'steal 4', 'take 3', 'wrangle 1', 'wrest 1', 'yank 1'], 'hooves': ['clutch 1', 'foot 2', 'gallop 1', 'gravity 1', 'inexorable triumph 1', 'march 2', 'passing 1', 'rumble 1', 'track 1', 'weight 1'], 'time': ['destiny 1', 'eternity 1', 'history 1', 'life 1']}"
506,Noriega is close to Castro and may once have been his agent.,Sandinistas Thomas Borge and the Ortega brothers are Castro proteges; he backed their takeover of Nicaragua.,"{'close': ['acquaint 1', 'an ally 1', 'devote 1', 'friendly 1', 'kind 1', 'near 3', 'nearby 1', 'nice 1', 'useful 1'], 'once': ['already 1', 'at some point 1', 'before 1', 'briefly 1', 'earlier 2', 'erstwhile 1', 'formerly 2', 'onetime 1', 'previously 3'], 'agent': ['advocate 1', 'aide 1', 'assistant 2', 'associate 2', 'comrade 1', 'delegate 1', 'deputy 1', 'henchman 1', 'intermediary 1', 'intermediary , 1', 'partner 1', 'sidekick 1', 'spy 1', 'worker 1']}"
